любовь/любить 	爱	ài
иметь влечение/симпатизировать	爱好	àihào
любить хорошо выглядеть	爱好	àihǎo
восемь	八	bā
папа	爸爸	bàba
хорошо/давай	吧	ba
хлоп!	吧	bā
белый/чистый/седой	白	bái
днём	白天	báitiān
сто	百	bǎi
группа/отделение/смена	班	bān
наполовину	半	bàn
полугодие	半年	bànnián
в небе/долгое время	半天	bàntiān
помогать/трудиться	帮	bāng
оказывать услугу	帮忙	bāngmáng
обёртывать/перевязывать	包	bāo
баоцзы/размазня	包子	bāozi
счётное слово чашка	杯	bēi
чашка	杯子	bēizi
север/потерпеть поражение	北	běi
северная сторона	北边	běibian
Пекин	北京	běijīng
корень/основа	本	běn
тетрадь/сценарий/водительские права	本子	běnzi
сравнивать/соревноваться	比	bǐ
быть заодно/соответствовать требованиям/веселиться	比	bì
иметь различия/расходиться	别	bié
чужой/разлука/разновидность	别	biè
другой/особый	别的	biéde
посторонний	别人	biéren
болезнь	病	bìng
пациент	病人	bìngrén
небольшой/редко	不大	bùdà
не соответствовать/не уживаться/ошибочный	不对	bùduì
не стоит благодарности	不客气	bùkèqi
незачем/бесполезный	不用	bùyòng
отрицательная частица	不	bù
зелень/новичок/кухня/обед	菜	cài
чай	茶	chá
ошибка/ошибаться	差	chā
не дотягивать/расхождение/скверный	差	chà
отбирать/послать/служить	差	chāi
последовательность/различать	差	cī
промывать	差	cuō
регулярный/обычный	常	cháng
часто/регулярно	常常	chángcháng
петь/кричать/возглашать	唱	chàng
вокал/петь	唱歌	chànggē
повозка/тачка/колесо	车	chē
ладья/челюсть	车	jū
проездной билет	车票	chēpiào
в машине	车上	chē shang
остановка/вокзал	车站	chēzhàn
есть	吃	chī
кормиться/есть рис	吃饭	chīfàn
выходить/выезжать	出	chū
выходить наружу/вообще/в общем	出来	chūlái
выходить наружу	出去	chūqù
надевать/продырявливать	穿	chuān
кровать/подставка/десна	床	chuáng
очередь/последовательность	次	cì
следовать/из/с	从	cóng
расходиться/запутываться/по ошибке	错	cuò
бить/драться/портить	打	dǎ
дюжина	打	dá
